,miRNA,disease
1363,['hsa-mir-425'],['Lymphoma']
1364,['hsa-mir-451'],['Lymphoma']
1365,['hsa-mir-454'],['Lymphoma']
1366,['hsa-mir-484'],['Lymphoma']
1367,['hsa-mir-489'],['Lymphoma']
1368,['hsa-mir-494'],['Lymphoma']
1369,['hsa-mir-497'],['Lymphoma']
1370,['hsa-mir-503'],['Lymphoma']
1371,['hsa-mir-584'],['Lymphoma']
1372,['hsa-mir-624'],['Lymphoma']
1373,['hsa-mir-625'],['Lymphoma']
1374,['hsa-mir-629'],['Lymphoma']
1375,['hsa-mir-638'],['Lymphoma']
1376,['hsa-mir-7'],['Lymphoma']
1377,['hsa-mir-744'],['Lymphoma']
1378,['hsa-mir-765'],['Lymphoma']
1379,['hsa-mir-9'],['Lymphoma']
1380,['hsa-mir-92'],['Lymphoma']
1381,['hsa-mir-92a'],['Lymphoma']
1382,['hsa-mir-92b'],['Lymphoma']
1383,['hsa-mir-93'],['Lymphoma']
1384,['hsa-mir-933'],['Lymphoma']
1385,['hsa-mir-95'],['Lymphoma']
1386,['hsa-mir-96'],['Lymphoma']
1387,['hsa-mir-98'],['Lymphoma']
1388,['hsa-mir-99a'],['Lymphoma']
1389,['hsa-mir-99b'],['Lymphoma']
1390,['hsa-let-7a'],['Medulloblastoma']
1391,['hsa-let-7b'],['Medulloblastoma']
1392,['hsa-let-7d'],['Medulloblastoma']
1393,['hsa-let-7e'],['Medulloblastoma']
1394,['hsa-let-7f'],['Medulloblastoma']
1395,['hsa-let-7g'],['Medulloblastoma']
1396,['hsa-let-7i'],['Medulloblastoma']
1397,['hsa-mir-100'],['Medulloblastoma']
1398,['hsa-mir-106a'],['Medulloblastoma']
1399,['hsa-mir-106b'],['Medulloblastoma']
1400,['hsa-mir-107'],['Medulloblastoma']
1401,['hsa-mir-10b'],['Medulloblastoma']
1402,['hsa-mir-124a'],['Medulloblastoma']
1403,['hsa-mir-125a'],['Medulloblastoma']
1404,['hsa-mir-125b'],['Medulloblastoma']
1405,['hsa-mir-127'],['Medulloblastoma']
1406,['hsa-mir-128'],['Medulloblastoma']
1407,['hsa-mir-129'],['Medulloblastoma']
1408,['hsa-mir-132'],['Medulloblastoma']
1409,['hsa-mir-133b'],['Medulloblastoma']
1410,['hsa-mir-134'],['Medulloblastoma']
1411,['hsa-mir-135a'],['Medulloblastoma']
1412,['hsa-mir-135b'],['Medulloblastoma']
1413,['hsa-mir-137'],['Medulloblastoma']
1414,['hsa-mir-138'],['Medulloblastoma']
1415,['hsa-mir-143'],['Medulloblastoma']
1416,['hsa-mir-145'],['Medulloblastoma']
1417,['hsa-mir-148a'],['Medulloblastoma']
1418,['hsa-mir-149'],['Medulloblastoma']
1419,['hsa-mir-150'],['Medulloblastoma']
1420,['hsa-mir-153'],['Medulloblastoma']
1421,['hsa-mir-154'],['Medulloblastoma']
1422,['hsa-mir-155'],['Medulloblastoma']
1423,['hsa-mir-17'],['Medulloblastoma']
1424,['hsa-mir-181b'],['Medulloblastoma']
1425,['hsa-mir-181c'],['Medulloblastoma']
1426,['hsa-mir-187'],['Medulloblastoma']
1427,['hsa-mir-18a'],['Medulloblastoma']
1428,['hsa-mir-191'],['Medulloblastoma']
1429,['hsa-mir-192'],['Medulloblastoma']
1430,['hsa-mir-194'],['Medulloblastoma']
1431,['hsa-mir-199b'],['Medulloblastoma']
1432,['hsa-mir-19a'],['Medulloblastoma']
1433,['hsa-mir-203'],['Medulloblastoma']
1434,['hsa-mir-20a'],['Medulloblastoma']
1435,['hsa-mir-21'],['Medulloblastoma']
1436,['hsa-mir-212'],['Medulloblastoma']
1437,['hsa-mir-219'],['Medulloblastoma']
1438,['hsa-mir-22'],['Medulloblastoma']
1439,['hsa-mir-221'],['Medulloblastoma']
1440,['hsa-mir-25'],['Medulloblastoma']
1441,['hsa-mir-26a'],['Medulloblastoma']
1442,['hsa-mir-26b'],['Medulloblastoma']
1443,['hsa-mir-29a'],['Medulloblastoma']
1444,['hsa-mir-29b'],['Medulloblastoma']
1445,['hsa-mir-29c'],['Medulloblastoma']
1446,['hsa-mir-30b'],['Medulloblastoma']
1447,['hsa-mir-30c'],['Medulloblastoma']
1448,['hsa-mir-31'],['Medulloblastoma']
1449,['hsa-mir-324'],['Medulloblastoma']
1450,['hsa-mir-326'],['Medulloblastoma']
1451,['hsa-mir-328'],['Medulloblastoma']
1452,['hsa-mir-330'],['Medulloblastoma']
1453,['hsa-mir-331'],['Medulloblastoma']
1454,['hsa-mir-345'],['Medulloblastoma']
1455,['hsa-mir-346'],['Medulloblastoma']
1456,['hsa-mir-361'],['Medulloblastoma']
1457,['hsa-mir-370'],['Medulloblastoma']
1458,['hsa-mir-372'],['Medulloblastoma']
1459,['hsa-mir-381'],['Medulloblastoma']
1460,['hsa-mir-382'],['Medulloblastoma']
1461,['hsa-mir-383'],['Medulloblastoma']
1462,['hsa-mir-425'],['Medulloblastoma']
1463,['hsa-mir-7'],['Medulloblastoma']
1464,['hsa-mir-9'],['Medulloblastoma']
1465,['hsa-mir-98'],['Medulloblastoma']
1466,['hsa-mir-200a'],['Meningioma']
1467,['hsa-mir-373'],['Meningioma']
1468,['hsa-mir-575'],['Meningioma']
1469,['hsa-let-7b'],['Meningioma']
1470,['hsa-let-7d'],['Meningioma']
1471,['hsa-let-7g'],['Meningioma']
1472,['hsa-let-7i'],['Meningioma']
1473,['hsa-mir-100'],['Meningioma']
1474,['hsa-mir-106a'],['Meningioma']
1475,['hsa-mir-106b'],['Meningioma']
1476,['hsa-mir-125a'],['Meningioma']
1477,['hsa-mir-125b'],['Meningioma']
1478,['hsa-mir-181a'],['Meningioma']
1479,['hsa-mir-19b'],['Meningioma']
1480,['hsa-mir-23b'],['Meningioma']
1481,['hsa-mir-26a'],['Meningioma']
1482,['hsa-mir-29a'],['Meningioma']
1483,['hsa-mir-335'],['Meningioma']
1484,['hsa-mir-370'],['Meningioma']
1485,['hsa-mir-654'],['Meningioma']
1486,['hsa-mir-98'],['Meningioma']
1487,['hsa-mir-10a'],['Multiple Myeloma']
1488,['hsa-mir-125a'],['Multiple Myeloma']
1489,['hsa-mir-130a'],['Multiple Myeloma']
1490,['hsa-mir-133b'],['Multiple Myeloma']
1491,['hsa-mir-135b'],['Multiple Myeloma']
1492,['hsa-mir-151'],['Multiple Myeloma']
1493,['hsa-mir-155'],['Multiple Myeloma']
1494,['hsa-mir-15a'],['Multiple Myeloma']
1495,['hsa-mir-182'],['Multiple Myeloma']
1496,['hsa-mir-193a'],['Multiple Myeloma']
1497,['hsa-mir-196a'],['Multiple Myeloma']
1498,['hsa-mir-196b'],['Multiple Myeloma']
1499,['hsa-mir-203'],['Multiple Myeloma']
1500,['hsa-mir-214'],['Multiple Myeloma']
1501,['hsa-mir-218'],['Multiple Myeloma']
1502,['hsa-mir-224'],['Multiple Myeloma']
1503,['hsa-mir-362'],['Multiple Myeloma']
1504,['hsa-mir-375'],['Multiple Myeloma']
1505,['hsa-mir-379'],['Multiple Myeloma']
1506,['hsa-mir-451'],['Multiple Myeloma']
1507,['hsa-mir-486'],['Multiple Myeloma']
1508,['hsa-mir-501'],['Multiple Myeloma']
1509,['hsa-mir-629'],['Multiple Myeloma']
1510,['hsa-mir-650'],['Multiple Myeloma']
1511,['hsa-mir-95'],['Multiple Myeloma']
1512,['hsa-let-7a'],['Prostate Neoplasms']
1513,['hsa-let-7b'],['Prostate Neoplasms']
1514,['hsa-let-7c'],['Prostate Neoplasms']
1515,['hsa-let-7d'],['Prostate Neoplasms']
1516,['hsa-let-7e'],['Prostate Neoplasms']
1517,['hsa-let-7f'],['Prostate Neoplasms']
1518,['hsa-let-7g'],['Prostate Neoplasms']
1519,['hsa-let-7i'],['Prostate Neoplasms']
1520,['hsa-mir-1'],['Prostate Neoplasms']
1521,['hsa-mir-100'],['Prostate Neoplasms']
1522,['hsa-mir-101'],['Prostate Neoplasms']
1523,['hsa-mir-105'],['Prostate Neoplasms']
1524,['hsa-mir-106a'],['Prostate Neoplasms']
1525,['hsa-mir-106b'],['Prostate Neoplasms']
1526,['hsa-mir-10a'],['Prostate Neoplasms']
1527,['hsa-mir-10b'],['Prostate Neoplasms']
1528,['hsa-mir-124'],['Prostate Neoplasms']
1529,['hsa-mir-125a'],['Prostate Neoplasms']
1530,['hsa-mir-125b'],['Prostate Neoplasms']
1531,['hsa-mir-126'],['Prostate Neoplasms']
1532,['hsa-mir-127'],['Prostate Neoplasms']
1533,['hsa-mir-128'],['Prostate Neoplasms']
1534,['hsa-mir-129'],['Prostate Neoplasms']
1535,['hsa-mir-130a'],['Prostate Neoplasms']
1536,['hsa-mir-130b'],['Prostate Neoplasms']
1537,['hsa-mir-132'],['Prostate Neoplasms']
1538,['hsa-mir-133a'],['Prostate Neoplasms']
1539,['hsa-mir-133b'],['Prostate Neoplasms']
1540,['hsa-mir-135b'],['Prostate Neoplasms']
1541,['hsa-mir-136'],['Prostate Neoplasms']
1542,['hsa-mir-137'],['Prostate Neoplasms']
1543,['hsa-mir-138'],['Prostate Neoplasms']
1544,['hsa-mir-140'],['Prostate Neoplasms']
1545,['hsa-mir-143'],['Prostate Neoplasms']
1546,['hsa-mir-144'],['Prostate Neoplasms']
1547,['hsa-mir-145'],['Prostate Neoplasms']
1548,['hsa-mir-149'],['Prostate Neoplasms']
1549,['hsa-mir-150'],['Prostate Neoplasms']
1550,['hsa-mir-152'],['Prostate Neoplasms']
1551,['hsa-mir-153'],['Prostate Neoplasms']
1552,['hsa-mir-154'],['Prostate Neoplasms']
1553,['hsa-mir-155'],['Prostate Neoplasms']
1554,['hsa-mir-15a'],['Prostate Neoplasms']
1555,['hsa-mir-15b'],['Prostate Neoplasms']
1556,['hsa-mir-16'],['Prostate Neoplasms']
1557,['hsa-mir-181a'],['Prostate Neoplasms']
1558,['hsa-mir-181b'],['Prostate Neoplasms']
1559,['hsa-mir-182'],['Prostate Neoplasms']
1560,['hsa-mir-183'],['Prostate Neoplasms']
1561,['hsa-mir-184'],['Prostate Neoplasms']
1562,['hsa-mir-186'],['Prostate Neoplasms']
1563,['hsa-mir-187'],['Prostate Neoplasms']
1564,['hsa-mir-189'],['Prostate Neoplasms']
1565,['hsa-mir-192'],['Prostate Neoplasms']
1566,['hsa-mir-194'],['Prostate Neoplasms']
1567,['hsa-mir-195'],['Prostate Neoplasms']
1568,['hsa-mir-196a'],['Prostate Neoplasms']
1569,['hsa-mir-197'],['Prostate Neoplasms']
1570,['hsa-mir-198'],['Prostate Neoplasms']
1571,['hsa-mir-199a'],['Prostate Neoplasms']
1572,['hsa-mir-199b'],['Prostate Neoplasms']
1573,['hsa-mir-19a'],['Prostate Neoplasms']
1574,['hsa-mir-19b'],['Prostate Neoplasms']
1575,['hsa-mir-200a'],['Prostate Neoplasms']
1576,['hsa-mir-200c'],['Prostate Neoplasms']
1577,['hsa-mir-204'],['Prostate Neoplasms']
1578,['hsa-mir-205'],['Prostate Neoplasms']
1579,['hsa-mir-206'],['Prostate Neoplasms']
1580,['hsa-mir-21'],['Prostate Neoplasms']
1581,['hsa-mir-211'],['Prostate Neoplasms']
1582,['hsa-mir-214'],['Prostate Neoplasms']
1583,['hsa-mir-215'],['Prostate Neoplasms']
1584,['hsa-mir-218'],['Prostate Neoplasms']
1585,['hsa-mir-219'],['Prostate Neoplasms']
1586,['hsa-mir-22'],['Prostate Neoplasms']
1587,['hsa-mir-221'],['Prostate Neoplasms']
1588,['hsa-mir-222'],['Prostate Neoplasms']
1589,['hsa-mir-223'],['Prostate Neoplasms']
1590,['hsa-mir-224'],['Prostate Neoplasms']
1591,['hsa-mir-23a'],['Prostate Neoplasms']
1592,['hsa-mir-23b'],['Prostate Neoplasms']
1593,['hsa-mir-24'],['Prostate Neoplasms']
1594,['hsa-mir-25'],['Prostate Neoplasms']
1595,['hsa-mir-26a'],['Prostate Neoplasms']
1596,['hsa-mir-26b'],['Prostate Neoplasms']
1597,['hsa-mir-27a'],['Prostate Neoplasms']
1598,['hsa-mir-27b'],['Prostate Neoplasms']
1599,['hsa-mir-28'],['Prostate Neoplasms']
1600,['hsa-mir-296'],['Prostate Neoplasms']
1601,['hsa-mir-29a'],['Prostate Neoplasms']
1602,['hsa-mir-29b'],['Prostate Neoplasms']
1603,['hsa-mir-29c'],['Prostate Neoplasms']
1604,['hsa-mir-302a'],['Prostate Neoplasms']
1605,['hsa-mir-302b'],['Prostate Neoplasms']
1606,['hsa-mir-302c'],['Prostate Neoplasms']
1607,['hsa-mir-302d'],['Prostate Neoplasms']
1608,['hsa-mir-30b'],['Prostate Neoplasms']
1609,['hsa-mir-30c'],['Prostate Neoplasms']
1610,['hsa-mir-30d'],['Prostate Neoplasms']
1611,['hsa-mir-31'],['Prostate Neoplasms']
1612,['hsa-mir-32'],['Prostate Neoplasms']
1613,['hsa-mir-325'],['Prostate Neoplasms']
1614,['hsa-mir-337'],['Prostate Neoplasms']
1615,['hsa-mir-338'],['Prostate Neoplasms']
1616,['hsa-mir-34a'],['Prostate Neoplasms']
1617,['hsa-mir-34b'],['Prostate Neoplasms']
1618,['hsa-mir-34c'],['Prostate Neoplasms']
1619,['hsa-mir-367'],['Prostate Neoplasms']
1620,['hsa-mir-369'],['Prostate Neoplasms']
1621,['hsa-mir-371'],['Prostate Neoplasms']
1622,['hsa-mir-372'],['Prostate Neoplasms']
1623,['hsa-mir-375'],['Prostate Neoplasms']
1624,['hsa-mir-7'],['Prostate Neoplasms']
1625,['hsa-mir-9'],['Prostate Neoplasms']
1626,['hsa-mir-92'],['Prostate Neoplasms']
1627,['hsa-mir-96'],['Prostate Neoplasms']
1628,['hsa-mir-98'],['Prostate Neoplasms']
1629,['hsa-mir-99a'],['Prostate Neoplasms']
1630,['hsa-mir-99b'],['Prostate Neoplasms']
1631,['hsa-let-7a'],['Kidney Neoplasms']
1632,['hsa-let-7c'],['Kidney Neoplasms']
1633,['hsa-let-7d'],['Kidney Neoplasms']
1634,['hsa-let-7f'],['Kidney Neoplasms']
1635,['hsa-let-7g'],['Kidney Neoplasms']
1636,['hsa-let-7i'],['Kidney Neoplasms']
1637,['hsa-mir-1'],['Kidney Neoplasms']
1638,['hsa-mir-100'],['Kidney Neoplasms']
1639,['hsa-mir-101'],['Kidney Neoplasms']
1640,['hsa-mir-106a'],['Kidney Neoplasms']
1641,['hsa-mir-106b'],['Kidney Neoplasms']
1642,['hsa-mir-107'],['Kidney Neoplasms']
1643,['hsa-mir-10a'],['Kidney Neoplasms']
1644,['hsa-mir-10b'],['Kidney Neoplasms']
1645,['hsa-mir-122'],['Kidney Neoplasms']
1646,['hsa-mir-124'],['Kidney Neoplasms']
1647,['hsa-mir-125a'],['Kidney Neoplasms']
1648,['hsa-mir-126'],['Kidney Neoplasms']
1649,['hsa-mir-127'],['Kidney Neoplasms']
1650,['hsa-mir-128'],['Kidney Neoplasms']
1651,['hsa-mir-129'],['Kidney Neoplasms']
1652,['hsa-mir-130a'],['Kidney Neoplasms']
1653,['hsa-mir-130b'],['Kidney Neoplasms']
1654,['hsa-mir-132'],['Kidney Neoplasms']
1655,['hsa-mir-134'],['Kidney Neoplasms']
1656,['hsa-mir-135b'],['Kidney Neoplasms']
1657,['hsa-mir-136'],['Kidney Neoplasms']
1658,['hsa-mir-138'],['Kidney Neoplasms']
1659,['hsa-mir-139'],['Kidney Neoplasms']
1660,['hsa-mir-140'],['Kidney Neoplasms']
1661,['hsa-mir-141'],['Kidney Neoplasms']
1662,['hsa-mir-143'],['Kidney Neoplasms']
1663,['hsa-mir-144'],['Kidney Neoplasms']
1664,['hsa-mir-145'],['Kidney Neoplasms']
1665,['hsa-mir-146a'],['Kidney Neoplasms']
1666,['hsa-mir-146b'],['Kidney Neoplasms']
1667,['hsa-mir-148a'],['Kidney Neoplasms']
1668,['hsa-mir-149'],['Kidney Neoplasms']
1669,['hsa-mir-150'],['Kidney Neoplasms']
1670,['hsa-mir-152'],['Kidney Neoplasms']
1671,['hsa-mir-153'],['Kidney Neoplasms']
1672,['hsa-mir-155'],['Kidney Neoplasms']
1673,['hsa-mir-15a'],['Kidney Neoplasms']
1674,['hsa-mir-15b'],['Kidney Neoplasms']
1675,['hsa-mir-16'],['Kidney Neoplasms']
1676,['hsa-mir-181a'],['Kidney Neoplasms']
1677,['hsa-mir-181b'],['Kidney Neoplasms']
1678,['hsa-mir-181c'],['Kidney Neoplasms']
1679,['hsa-mir-181d'],['Kidney Neoplasms']
1680,['hsa-mir-182'],['Kidney Neoplasms']
1681,['hsa-mir-183'],['Kidney Neoplasms']
1682,['hsa-mir-184'],['Kidney Neoplasms']
1683,['hsa-mir-185'],['Kidney Neoplasms']
1684,['hsa-mir-186'],['Kidney Neoplasms']
1685,['hsa-mir-187'],['Kidney Neoplasms']
1686,['hsa-mir-188'],['Kidney Neoplasms']
1687,['hsa-mir-18a'],['Kidney Neoplasms']
1688,['hsa-mir-18b'],['Kidney Neoplasms']
1689,['hsa-mir-191'],['Kidney Neoplasms']
1690,['hsa-mir-192'],['Kidney Neoplasms']
1691,['hsa-mir-193a'],['Kidney Neoplasms']
1692,['hsa-mir-193b'],['Kidney Neoplasms']
1693,['hsa-mir-194'],['Kidney Neoplasms']
1694,['hsa-mir-195'],['Kidney Neoplasms']
1695,['hsa-mir-196a'],['Kidney Neoplasms']
1696,['hsa-mir-196b'],['Kidney Neoplasms']
1697,['hsa-mir-197'],['Kidney Neoplasms']
1698,['hsa-mir-198'],['Kidney Neoplasms']
1699,['hsa-mir-199a'],['Kidney Neoplasms']
1700,['hsa-mir-199b'],['Kidney Neoplasms']
1701,['hsa-mir-19a'],['Kidney Neoplasms']
1702,['hsa-mir-19b'],['Kidney Neoplasms']
1703,['hsa-mir-200a'],['Kidney Neoplasms']
1704,['hsa-mir-200b'],['Kidney Neoplasms']
1705,['hsa-mir-200c'],['Kidney Neoplasms']
1706,['hsa-mir-203'],['Kidney Neoplasms']
1707,['hsa-mir-204'],['Kidney Neoplasms']
1708,['hsa-mir-206'],['Kidney Neoplasms']
1709,['hsa-mir-20a'],['Kidney Neoplasms']
1710,['hsa-mir-20b'],['Kidney Neoplasms']
1711,['hsa-mir-21'],['Kidney Neoplasms']
1712,['hsa-mir-210'],['Kidney Neoplasms']
1713,['hsa-mir-211'],['Kidney Neoplasms']
1714,['hsa-mir-212'],['Kidney Neoplasms']
1715,['hsa-mir-214'],['Kidney Neoplasms']
1716,['hsa-mir-215'],['Kidney Neoplasms']
1717,['hsa-mir-218'],['Kidney Neoplasms']
1718,['hsa-mir-22'],['Kidney Neoplasms']
1719,['hsa-mir-222'],['Kidney Neoplasms']
1720,['hsa-mir-223'],['Kidney Neoplasms']
1721,['hsa-mir-224'],['Kidney Neoplasms']
1722,['hsa-mir-23a'],['Kidney Neoplasms']
1723,['hsa-mir-23b'],['Kidney Neoplasms']
1724,['hsa-mir-24'],['Kidney Neoplasms']
1725,['hsa-mir-25'],['Kidney Neoplasms']
1726,['hsa-mir-26a'],['Kidney Neoplasms']
1727,['hsa-mir-26b'],['Kidney Neoplasms']
1728,['hsa-mir-27a'],['Kidney Neoplasms']
1729,['hsa-mir-27b'],['Kidney Neoplasms']
1730,['hsa-mir-28'],['Kidney Neoplasms']
1731,['hsa-mir-29a'],['Kidney Neoplasms']
1732,['hsa-mir-29b'],['Kidney Neoplasms']
1733,['hsa-mir-29c'],['Kidney Neoplasms']
1734,['hsa-mir-30b'],['Kidney Neoplasms']
1735,['hsa-mir-30c'],['Kidney Neoplasms']
1736,['hsa-mir-30d'],['Kidney Neoplasms']
1737,['hsa-mir-31'],['Kidney Neoplasms']
1738,['hsa-mir-329'],['Kidney Neoplasms']
1739,['hsa-mir-330'],['Kidney Neoplasms']
1740,['hsa-mir-331'],['Kidney Neoplasms']
1741,['hsa-mir-335'],['Kidney Neoplasms']
1742,['hsa-mir-338'],['Kidney Neoplasms']
1743,['hsa-mir-339'],['Kidney Neoplasms']
1744,['hsa-mir-342'],['Kidney Neoplasms']
1745,['hsa-mir-345'],['Kidney Neoplasms']
1746,['hsa-mir-346'],['Kidney Neoplasms']
1747,['hsa-mir-34a'],['Kidney Neoplasms']
1748,['hsa-mir-34b'],['Kidney Neoplasms']
1749,['hsa-mir-34c'],['Kidney Neoplasms']
1750,['hsa-mir-361'],['Kidney Neoplasms']
1751,['hsa-mir-362'],['Kidney Neoplasms']
1752,['hsa-mir-363'],['Kidney Neoplasms']
1753,['hsa-mir-370'],['Kidney Neoplasms']
1754,['hsa-mir-375'],['Kidney Neoplasms']
1755,['hsa-mir-376a'],['Kidney Neoplasms']
1756,['hsa-mir-379'],['Kidney Neoplasms']
1757,['hsa-mir-381'],['Kidney Neoplasms']
1758,['hsa-mir-382'],['Kidney Neoplasms']
1759,['hsa-mir-411'],['Kidney Neoplasms']
1760,['hsa-mir-421'],['Kidney Neoplasms']
1761,['hsa-mir-422a'],['Kidney Neoplasms']
1762,['hsa-mir-423'],['Kidney Neoplasms']
1763,['hsa-mir-424'],['Kidney Neoplasms']
1764,['hsa-mir-425'],['Kidney Neoplasms']
1765,['hsa-mir-429'],['Kidney Neoplasms']
1766,['hsa-mir-432'],['Kidney Neoplasms']
1767,['hsa-mir-433'],['Kidney Neoplasms']
1768,['hsa-mir-451'],['Kidney Neoplasms']
1769,['hsa-mir-452'],['Kidney Neoplasms']
1770,['hsa-mir-455'],['Kidney Neoplasms']
1771,['hsa-mir-483'],['Kidney Neoplasms']
1772,['hsa-mir-484'],['Kidney Neoplasms']
1773,['hsa-mir-486'],['Kidney Neoplasms']
1774,['hsa-mir-487a'],['Kidney Neoplasms']
1775,['hsa-mir-487b'],['Kidney Neoplasms']
1776,['hsa-mir-489'],['Kidney Neoplasms']
1777,['hsa-mir-491'],['Kidney Neoplasms']
1778,['hsa-mir-493'],['Kidney Neoplasms']
1779,['hsa-mir-495'],['Kidney Neoplasms']
1780,['hsa-mir-497'],['Kidney Neoplasms']
1781,['hsa-mir-498'],['Kidney Neoplasms']
1782,['hsa-mir-501'],['Kidney Neoplasms']
1783,['hsa-mir-502'],['Kidney Neoplasms']
1784,['hsa-mir-503'],['Kidney Neoplasms']
1785,['hsa-mir-504'],['Kidney Neoplasms']
1786,['hsa-mir-506'],['Kidney Neoplasms']
1787,['hsa-mir-507'],['Kidney Neoplasms']
1788,['hsa-mir-509'],['Kidney Neoplasms']
1789,['hsa-mir-510'],['Kidney Neoplasms']
1790,['hsa-mir-519e'],['Kidney Neoplasms']
1791,['hsa-mir-532'],['Kidney Neoplasms']
1792,['hsa-mir-545'],['Kidney Neoplasms']
1793,['hsa-mir-572'],['Kidney Neoplasms']
1794,['hsa-mir-574'],['Kidney Neoplasms']
1795,['hsa-mir-575'],['Kidney Neoplasms']
1796,['hsa-mir-584'],['Kidney Neoplasms']
1797,['hsa-mir-598'],['Kidney Neoplasms']
1798,['hsa-mir-615'],['Kidney Neoplasms']
1799,['hsa-mir-628'],['Kidney Neoplasms']
1800,['hsa-mir-629'],['Kidney Neoplasms']
1801,['hsa-mir-638'],['Kidney Neoplasms']
1802,['hsa-mir-652'],['Kidney Neoplasms']
1803,['hsa-mir-660'],['Kidney Neoplasms']
1804,['hsa-mir-663'],['Kidney Neoplasms']
1805,['hsa-mir-671'],['Kidney Neoplasms']
1806,['hsa-mir-7'],['Kidney Neoplasms']
1807,['hsa-mir-766'],['Kidney Neoplasms']
1808,['hsa-mir-9'],['Kidney Neoplasms']
1809,['hsa-mir-92'],['Kidney Neoplasms']
1810,['hsa-mir-92b'],['Kidney Neoplasms']
1811,['hsa-mir-93'],['Kidney Neoplasms']
1812,['hsa-mir-95'],['Kidney Neoplasms']
1813,['hsa-mir-98'],['Kidney Neoplasms']
1814,['hsa-mir-99a'],['Kidney Neoplasms']
1815,['hsa-mir-99b'],['Kidney Neoplasms']
